城市	日期	累计确诊	累计治愈	累计死亡
七台河	2020/6/30	17	17	0
万宁	2020/6/30	13	13	0
万州区	2020/6/30	118	114	4
万盛经开区	2020/6/30	1	1	0
三亚	2020/6/30	54	53	1
三明	2020/6/30	14	14	0
三门峡	2020/6/30	7	7	0
上海-境外输入	2020/6/30	371	341	0
上饶	2020/6/30	123	123	0
东丽区	2020/6/30	4	4	0
东城区	2020/6/30	19	0	0
东方	2020/6/30	3	2	1
东莞	2020/6/30	99	98	1
两江新区	2020/6/30	17	17	0
中卫	2020/6/30	3	3	0
中山	2020/6/30	67	64	0
丰台区	2020/6/30	266	0	0
丰都县	2020/6/30	10	10	0
临夏	2020/6/30	3	3	0
临汾	2020/6/30	2	2	0
临沂	2020/6/30	49	49	0
临沧	2020/6/30	1	1	0
临高	2020/6/30	6	6	0
丹东	2020/6/30	11	11	0
丽水	2020/6/30	17	17	0
丽江	2020/6/30	7	7	0
乌兰察布	2020/6/30	3	3	0
乌海	2020/6/30	2	2	0
乌鲁木齐	2020/6/30	23	23	0
乐东	2020/6/30	2	2	0
乐山	2020/6/30	3	3	0
九江	2020/6/30	118	118	0
九龙坡区	2020/6/30	21	20	1
云南-境外输入	2020/6/30	11	11	0
云阳县	2020/6/30	25	25	0
亳州	2020/6/30	108	108	0
仙桃	2020/6/30	575	553	22
伊春	2020/6/30	1	1	0
伊犁州	2020/6/30	18	18	0
佛山	2020/6/30	89	80	0
佳木斯	2020/6/30	15	15	0
保亭	2020/6/30	3	3	0
保定	2020/6/30	48	48	0
保山	2020/6/30	9	9	0
信阳	2020/6/30	274	245	1
儋州	2020/6/30	15	14	1
六安	2020/6/30	69	69	0
六盘水	2020/6/30	10	9	1
兰州	2020/6/30	37	35	2
兴安盟	2020/6/30	1	1	0
兵团第七师	2020/6/30	1	1	0
兵团第九师	2020/6/30	4	3	1
兵团第八师	2020/6/30	4	3	1
兵团第六师	2020/6/30	2	2	0
兵团第十二师	2020/6/30	3	3	0
兵团第四师	2020/6/30	10	9	1
内江	2020/6/30	22	22	0
内蒙古-境外输入	2020/6/30	161	161	0
凉山	2020/6/30	13	13	0
包头	2020/6/30	11	11	0
北京-境外输入	2020/6/30	174	0	0
北京-待明确	2020/6/30	1	576	9
北海	2020/6/30	44	41	1
北辰区	2020/6/30	7	6	0
十堰	2020/6/30	672	664	8
南京	2020/6/30	93	93	0
南充	2020/6/30	39	39	0
南宁	2020/6/30	55	55	0
南岸区	2020/6/30	15	15	0
南平	2020/6/30	20	20	0
南开区	2020/6/30	7	6	0
南昌	2020/6/30	230	230	0
南通	2020/6/30	40	40	0
南阳	2020/6/30	156	2	2
厦门	2020/6/30	35	35	0
双鸭山	2020/6/30	52	49	3
台州	2020/6/30	147	146	0
台湾	2020/6/30	447	435	7
合川区	2020/6/30	23	23	0
合肥	2020/6/30	174	173	1
吉安	2020/6/30	22	22	0
吉林	2020/6/30	48	47	1
吉林-境外输入	2020/6/30	19	19	0
吐鲁番	2020/6/30	3	3	0
吕梁	2020/6/30	6	6	0
吴忠	2020/6/30	28	28	0
周口	2020/6/30	76	1	0
呼伦贝尔	2020/6/30	9	9	0
呼和浩特	2020/6/30	7	7	0
和平区	2020/6/30	6	6	0
咸宁	2020/6/30	836	821	15
咸阳	2020/6/30	18	18	0
哈尔滨	2020/6/30	264	260	4
唐山	2020/6/30	58	55	1
商丘	2020/6/30	91	82	9
商洛	2020/6/30	7	7	0
嘉兴	2020/6/30	46	46	0
嘉定区	2020/6/30	9	7	0
四川-境外输入	2020/6/30	54	43	0
四平	2020/6/30	21	20	1
固原	2020/6/30	5	5	0
垫江县	2020/6/30	20	20	0
城口县	2020/6/30	2	2	0
外地来京	2020/6/30	25	0	0
外地来沪	2020/6/30	114	108	1
外地来津	2020/6/30	6	6	0
大兴区	2020/6/30	104	2	0
大兴安岭	2020/6/30	3	3	0
大同	2020/6/30	12	12	0
大庆	2020/6/30	27	26	1
大渡口区	2020/6/30	7	7	0
大理	2020/6/30	13	13	0
大足区	2020/6/30	14	14	0
大连	2020/6/30	18	18	0
天水	2020/6/30	12	12	0
天津-境外输入	2020/6/30	60	56	0
天门	2020/6/30	496	481	15
太原	2020/6/30	21	21	0
奉节县	2020/6/30	22	22	0
奉贤区	2020/6/30	9	9	0
威海	2020/6/30	38	37	1
娄底	2020/6/30	76	76	0
孝感	2020/6/30	3518	3389	129
宁东	2020/6/30	1	1	0
宁夏-境外输入	2020/6/30	3	3	0
宁德	2020/6/30	26	26	0
宁河区	2020/6/30	4	4	0
宁波	2020/6/30	157	157	0
安庆	2020/6/30	83	83	0
安康	2020/6/30	26	26	0
安徽-境外输入	2020/6/30	1	1	0
安阳	2020/6/30	53	53	0
安顺	2020/6/30	4	4	0
定安	2020/6/30	3	2	1
定西	2020/6/30	9	9	0
宜宾	2020/6/30	12	12	0
宜昌	2020/6/30	931	894	37
宜春	2020/6/30	106	106	0
宝坻区	2020/6/30	60	58	2
宝山区	2020/6/30	22	19	0
宝鸡	2020/6/30	13	13	0
宣城	2020/6/30	6	6	0
宿州	2020/6/30	41	41	0
宿迁	2020/6/30	13	13	0
密云区	2020/6/30	7	0	0
山东-境外输入	2020/6/30	29	29	0
山西-境外输入	2020/6/30	64	64	0
岳阳	2020/6/30	156	155	1
崇明区	2020/6/30	4	4	0
巫山县	2020/6/30	10	10	0
巫溪县	2020/6/30	14	14	0
巴中	2020/6/30	24	24	0
巴南区	2020/6/30	6	6	0
巴州	2020/6/30	3	3	0
巴彦淖尔	2020/6/30	8	7	1
常州	2020/6/30	51	51	0
常德	2020/6/30	82	82	0
平凉	2020/6/30	9	9	0
平顶山	2020/6/30	58	57	1
广东-境外输入	2020/6/30	240	88	0
广元	2020/6/30	6	6	0
广安	2020/6/30	30	30	0
广州	2020/6/30	377	330	1
广西-境外输入	2020/6/30	2	2	0
庆阳	2020/6/30	3	3	0
廊坊	2020/6/30	32	30	0
延安	2020/6/30	8	8	0
